season_no,episode_name,episode_airdate,episode_score,episode_votes,episode_desc
1,Cruelty,12 Apr. 2019,8.3,"(3,897)","
Tanjiro Kamado's life gets turned upside down when he finds out that his family was murdered by demons.    "
1,Trainer Sakonji Urokodaki,13 Apr. 2019,7.9,"(3,164)","
Tanjiro and Nezuko head for Mt. Sagiri per Giyu Tomioka's urges. On their way, Tanjiro encounters another demon.    "
1,Sabito and Makomo,20 Apr. 2019,8.2,"(3,102)","
The Demon Slayer Corps - An organization that's been hunting down demons since ancient times. Sakonji Urokodaki starts training Tanjiro for Final Selection, the test for joining the unit.    "
1,Final Selection,27 Apr. 2019,8.8,"(3,430)","
To pass the Final Selection, Tanjiro uses the techniques he learned from Sakonji Urokodaki and begins his fight against a demon on Mt. Fajikasane.    "
1,My Own Steel,4 May 2019,8.0,"(2,864)","
There are only four swordsmen left come dawn of the seventh day and they are issued Demon Slayer Corps uniforms and messengers crows.    "
1,Swordsman Accompanying a Demon,11 May 2019,8.0,"(2,801)","
In uniform and with a sword in his hand Tanjiro continues his main quest to find the demon who murdered his family.    "
1,Muzan Kibutsuji,18 May 2019,8.7,"(3,090)","
With Tanjiro backed into a corner by demons its Nezuko's turn to attack and prove that she no longer needs her brother's protection.    "
1,The Smell of Enchanting Blood,25 May 2019,8.4,"(2,818)","
Two demons, Tamayo and Yushiro come to Tanjiro's rescue. Tamayo guides Tanjiro and Nezuko to her house where Tanjiro learns how to return demons to humans.    "
1,Temari Demon and Arrow Demon,1 Jun. 2019,8.5,"(2,755)","
Two demons, Tamayo and Yushiro come to Tanjiro's rescue. Tamayo guides Tanjiro and Nezuko to her house where Tanjiro learns how to return demons to humans.    "
1,Together Forever,8 Jun. 2019,8.5,"(2,735)","
With Tamayo coming to Nezuko's aid the battle reaches its climax. Tanjiro learns about the Twelve Demon Moons organization.    "
1,Tsuzumi Mansion,15 Jun. 2019,7.3,"(2,779)","
Tanjiro heads to his next location southeast; on the way he meats Zenitsu, one of the swordsmen of the FInal Selection.    "
1,"The Boar Bares Its Fangs, Zenitsu Sleeps",22 Jun. 2019,8.0,"(2,671)","
Tanjiro gets separated from Zenitsu when he enters a mysterious house where he encounters another demon and someone else.    "
1,Something More Important Than Life,29 Jun. 2019,8.3,"(2,660)","
Inside the mysterious house, Tanjiro battles Kyogai - The Drum Demon while Zenitsu tries to bring Shoichi to safety.    "
1,The House with the Wisteria Family Crest,6 Jul. 2019,7.7,"(2,680)","
After defeating Kyogai, Tanjiro steps outside where he spots Inosuke who is eager to fight him. After a short tussle Tanjiro, Inosuke , Nezuko and Zenitsu head to a manor where they are taken in by an old woman.    "
1,Mount Natagumo,13 Jul. 2019,8.0,"(2,565)","
Tanjiro heads to his next location to a mountain northwest and he brings Inosuke and Zenitsu with him. Upon arriving on the spiderweb swarmed mountain Tanjiro and Inosuke soon run into Demon Slayers entangled in spider webs.    "
1,Letting Someone Else Go First,20 Jul. 2019,8.7,"(2,861)","
Tanjiro and Inosuke head farther up the mountain while battling Demon Slayers trapped by spider webs. Soon they find out that the Spider Demon family is behind it all.    "
1,You Must Master a Single Thing,27 Jul. 2019,9.0,"(3,756)","
Zenitsu finds himself alone in the woods where he encounters a spider with a human face. Despite being terrified he does his best and manages to defeat the spider human using a new technique.    "
1,A Forged Bond,3 Aug. 2019,9.0,"(3,429)","
High up on the mountain Tanjiro and Inosuke face off against Father Spider Demon, one of the Twelve Demon Moons (or at least they think so).    "
1,Hinokami,10 Aug. 2019,9.8,"(14,353)","
Inosuke confronts his savior. Zenitsu lies still near his death. Tanjiro faces what seems to be an unstoppable enemy, and in a moment of desperation, recalls his past.    "
1,Pretend Family,17 Aug. 2019,8.8,"(3,104)","
With his life flashing before his eyes Rui remembers the family he created. Meanwhile, Shinobu arrives on the mountain to stop Rui's older sister.    "
1,Against Corps Rules,24 Aug. 2019,8.6,"(2,690)","
In his final moments, as he perishes to ash and dust, Rui tells the story of how he came to be, his family and the family he created.    "
1,Master of the Mansion,31 Aug. 2019,8.4,"(2,562)","
With the battle reaching its conclusion Tanjiro and Nezuko arrive at Demon Slayer Corps headquarters where their bond is tested once again.    "
